"the_geom","OBJECTID","CROSSING","RAILROAD","RRDIV","RRSUBDIV","HIGHWAY","STREET","TYPEXING","POSXING","STFIPS","CTFIPS","COUNTY","State_ABBR","TYPE"
"POINT (-78.9554640739387 39.465435175631114)","627","144728W","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-79.20646399891774 39.41561919617977)","628","144842W","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24023","Garrett","MD","PR"
"POINT (-79.39858694106795 39.39505320820538)","629","144848M","CSX","C&O","MOUNTAIN","US 219","ELKINS-OAKLAND RD","3","2","24","24023","Garrett","MD","PR"
"POINT (-79.1023610274023 39.46597618169948)","630","144839N","CSX","C&O","MOUNTAIN","MD 135","WESTERNPORT RD","3","2","24","24023","Garrett","MD","PR"
"POINT (-78.94373807622516 39.47571117376381)","631","144727P","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.7818791114456 39.70451212177639)","632","145059S","CSX","BALTIMORE","KEYSTONE","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.89028608960413 39.52568816127197)","633","144720S","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.8533680991033 39.56088615323582)","634","144709S","CSX","C&O","MOUNTAIN","CO 238","PINTO RD","3","3","24","24001","Allegany","MD","PR"
"POINT (-78.85638109786744 39.556343154315904)","635","144710L","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.84466310130277 39.56711915168023)","636","144707D","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","3","24","24001","Allegany","MD","PR"
"POINT (-78.8623250971014 39.54726415621009)","637","144712A","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.86913809539959 39.5415341579427)","638","144714N","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.88233609180797 39.53007116024463)","639","144718R","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.76939911781744 39.653392131952394)","640","144695L","CSX","C&O","MOUNTAIN","US 48","I-68 & US-40","3","2","24","24001","Allegany","MD","PR"
"POINT (-78.87715609265422 39.53457215939191)","641","144716C","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.80167111018714 39.62051013896626)","642","144700F","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.75859512123756 39.65119113209031)","643","144688B","CSX","C&O","CUMBERLAND TER","MU 2370","MECHANIC ST","3","3","24","24001","Allegany","MD","PR"
"POINT (-78.87891909280415 39.53303915999192)","644","144717J","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.94255507680472 39.47863717274806)","645","144726H","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","3","24","24001","Allegany","MD","PR"
"POINT (-78.8021131103227 39.62202813898179)","646","144699N","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.75890112218873 39.652191131045754)","647","144687U","CSX","C&O","CUMBERLAND TER","MU 680","CENTRE STREET","3","3","24","24001","Allegany","MD","PR"
"POINT (-78.76599612119006 39.63299113512358)","648","144681D","CSX","BALTIMORE","CUMBERLAND TER","MU 3690","VIRGINIA AVENUE","3","3","24","24001","Allegany","MD","PR"
"POINT (-78.78095711463622 39.661464130337166)","649","144671X","CSX","BALTIMORE","CUMBERLAND","CO 512","MEXICO FARMS ROAD","3","2","24","24001","Allegany","MD","PR"
"POINT (-78.76319612088275 39.64259313377509)","650","144682K","CSX","BALTIMORE","CUMBERLAND TER","MD 51","INDUSTRIAL BLVD","3","2","24","24001","Allegany","MD","PR"
"POINT (-78.8867620901331 39.526970160810066)","651","144719X","CSX","C&O","MOUNTAIN","OP 253","RAWLINGS LANE","2","1","24","24001","Allegany","MD","PR"
"POINT (-78.77570011705039 39.646190132973516)","652","144696T","CSX","C&O","MOUNTAIN","MU 1880","KELLY RD","3","3","24","24001","Allegany","MD","PR"
"POINT (-78.77159611742891 39.651291132559614)","653","144691J","CSX","C&O","CUMBERLAND TER","MU 3750","WASHINGTON ST","3","2","24","24001","Allegany","MD","PR"
"POINT (-78.77234311748302 39.649173133043575)","654","144692R","CSX","C&O","MOUNTAIN","MU 1570","GREENE STREET","3","3","24","24001","Allegany","MD","PR"
"POINT (-78.76939911781744 39.653392131952394)","655","144689H","CSX","C&O","CUMBERLAND TER","MU 890","CUMBERLAND ST","3","2","24","24001","Allegany","MD","PR"
"POINT (-78.85676309735797 39.55564815427156)","656","144711T","CSX","C&O","MOUNTAIN","SR 956","","3","2","24","24001","Allegany","MD","PR"
"POINT (-77.47997454477108 39.251033160771854)","657","141364N","CSX","BALTIMORE","METROPOLITAN","CO 336","NOLANS FERRY RD.","3","3","24","24021","Frederick","MD","PR"
"POINT (-76.71399478613738 39.220592137885866)","658","141355P","CSX","BALTIMORE","CAPITAL","CO 158","LEVERING RD.","3","3","24","24005","Baltimore","MD","PR"
"POINT (-76.72951078008 39.23099113570319)","659","141356W","CSX","BALTIMORE","OLD MAIN LINE","SR 35","PATAPSCO ST PK RD","3","3","24","24005","Baltimore","MD","PR"
"POINT (-77.08450068233735 39.03269218910085)","660","141367J","CSX","BALTIMORE","METROPOLITAN","GV 28","BEACH DR.","3","3","24","24031","Montgomery","MD","PR"
"POINT (-77.71054446812227 39.325926154450855)","661","141361T","CSX","BALTIMORE","SHENANDOAH","CO 626","SANDY HOOK RD.","3","3","24","24043","Washington","MD","PR"
"POINT (-77.69109547445308 39.32925715333715)","662","141358K","CSX","BALTIMORE","CUMBERLAND","US 340","JEFFERSON PIKE","3","2","24","24043","Washington","MD","PR"
"POINT (-78.77059611756164 39.65229413150659)","663","144690C","CSX","C&O","CUMBERLAND TER","MU 1290","FAYETTE STREET","3","2","24","24001","Allegany","MD","PR"
"POINT (-78.78172811435927 39.66292213070202)","664","144670R","CSX","BALTIMORE","CUMBERLAND","CO 518","PITTSBURG PLATE","3","2","24","24001","Allegany","MD","PR"
"POINT (-77.71054446812227 39.325926154450855)","665","141360L","CSX","BALTIMORE","CUMBERLAND","CO 626","SANDY HOOK RD.","3","3","24","24043","Washington","MD","PR"
"POINT (-78.76939911781744 39.653392131952394)","666","144683S","CSX","BALTIMORE","CUMBERLAND TER","I 68","CUMBERLAND THRU","3","2","24","24001","Allegany","MD","PR"
"POINT (-76.94640173053259 38.94479320142745)","667","140907Y","CSX","BALTIMORE","CAPITAL","","PEDESTRIAN PATHWY","1","3","24","24033","Prince George's","MD","PR"
"POINT (-77.41351756774291 39.22011116453182)","668","141365V","CSX","BALTIMORE","METROPOLITAN","CO 240","MOUTH OF MNCCY RD","3","3","24","24031","Montgomery","MD","PR"
"POINT (-76.92970073654561 38.92529320492483)","669","140906S","CSX","BALTIMORE","CAPITAL","US 1ALT","BALTIMORE AVE","3","2","24","24033","Prince George's","MD","PR"
"POINT (-76.88469474251352 39.06179017567648)","670","140897V","CSX","BALTIMORE","CAPITAL","CO 21","MUIRKIRK RD.","3","2","24","24033","Prince George's","MD","PR"
"POINT (-76.9079947384099 39.014991186576324)","671","140900B","CSX","BALTIMORE","CAPITAL","I 495","CAPITAL BELTWAY","3","2","24","24033","Prince George's","MD","PR"
"POINT (-79.45573892239915 39.40872520732859)","672","144853J","CSX","C&O","MOUNTAIN","","PRIVATE ROAD","2","1","24","24023","Garrett","MD","PR"
"POINT (-76.86499574741927 39.07539317200454)","673","140896N","CSX","BALTIMORE","CAPITAL","CO 6","CONTEE RD.","3","2","24","24033","Prince George's","MD","PR"
"POINT (-77.46452854996711 39.24315216111852)","674","141357D","CSX","BALTIMORE","OLD MAIN LINE","CO 401","BILL MOXLEY RD.","3","3","24","24021","Frederick","MD","PR"
"POINT (-76.71359778590818 39.22209113718664)","675","140879X","CSX","BALTIMORE","CAPITAL","SR 84","RIVER RD","3","3","24","24027","Howard","MD","PR"
