X,Y,rowid,device_id,Location,ReportTime,AvgSpeed,Volume,Occupancy,Latitude,Longitude
-76.830115,39.1588150000001,157,72010319005d006d003cc7302f235daa,I-95 SB @ MD 32,2025/05/11 04:08:25+00,70,3,0,39.158815,-76.830115
-76.824922,39.0768170000001,158,7300049500c500460058fa30c4235c0a,MD-295 at Brock Bridge Road,2025/05/11 04:08:16+00,70,119,3,39.076817,-76.824922
-76.824922,39.0768170000001,159,7300049500c500460058fa30c4235c0a,MD-295 at Brock Bridge Road,2025/05/11 04:08:16+00,70,198,6,39.076817,-76.824922
-76.746452,39.2078760000001,160,730004d00064009d003ac7482f1f5daa,I-95 SB between MD 100 & Montgomery Rd,2025/05/11 04:08:26+00,70,121,1,39.207876,-76.746452
-77.077278,39.0058560000001,161,75000696005700d00062d330c4235c0a,I-495 Outer Loop at Ex 33 MD 185,2025/05/11 04:09:00+00,60,12,5,39.005856,-77.077278
-77.077278,39.0058560000001,162,75000696005700d00062d330c4235c0a,I-495 Outer Loop at Ex 33 MD 185,2025/05/11 04:09:00+00,65,42,4,39.005856,-77.077278
-77.077278,39.0058560000001,163,75000696005700d00062d330c4235c0a,I-495 Outer Loop at Ex 33 MD 185,2025/05/11 04:09:00+00,70,36,3,39.005856,-77.077278
-77.077278,39.0058560000001,164,75000696005700d00062d330c4235c0a,I-495 Outer Loop at Ex 33 MD 185,2025/05/11 04:09:00+00,45,4,2,39.005856,-77.077278
-76.588949,38.9840980000001,165,760004a0004b00e8003bc7482f1f5daa,US 50 East prior to Ex 21 I-97,2025/05/11 04:08:28+00,65,42,0,38.984098,-76.588949
-76.588949,38.9840980000001,166,760004a0004b00e8003bc7482f1f5daa,US 50 East prior to Ex 21 I-97,2025/05/11 04:08:28+00,70,45,0,38.984098,-76.588949
-77.112112,39.0273980000001,167,760007e200cb000d0065d330c4235c0a,I-270 SB Between Grosvenor Lane and MD 187,2025/05/11 04:10:00+00,70,19,2,39.027398,-77.112112
-77.112112,39.0273980000001,168,760007e200cb000d0065d330c4235c0a,I-270 SB Between Grosvenor Lane and MD 187,2025/05/11 04:10:00+00,65,15,2,39.027398,-77.112112
-76.929046,39.112041,169,770006c00007004f004c823033235daa,US 29 SB @ MD 198,2025/05/11 04:10:00+00,65,8,1,39.112041,-76.929046
-76.666725,39.5495070000001,170,790005eb00e800ed0064d330c4235c0a,I-83 NB At Cold Bottom Rd.,2025/05/11 04:10:00+00,70,1,0,39.549507,-76.666725
-76.666725,39.5495070000001,171,790005eb00e800ed0064d330c4235c0a,I-83 NB At Cold Bottom Rd.,2025/05/11 04:10:00+00,70,2,0,39.549507,-76.666725
-76.8902399999999,38.99733,172,7b0007ff0099000e0057fa30c4235c0a,I-95 OUTER LOOP PAST GREENBELT RD,2025/05/11 04:07:26+00,70,180,19,38.99733,-76.89024
-76.8902399999999,38.99733,173,7b0007ff0099000e0057fa30c4235c0a,I-95 OUTER LOOP PAST GREENBELT RD,2025/05/11 04:07:26+00,60,212,12,38.99733,-76.89024
-76.4905249999999,39.0145150000001,174,7d0009da008a005b0065d330c4235c0a,"US 50 West, at Ex 27 MD 2 (Gov Ritchie Hwy)",2025/05/11 04:10:00+00,65,10,1,39.014515,-76.490525
-76.4905249999999,39.0145150000001,175,7d0009da008a005b0065d330c4235c0a,"US 50 West, at Ex 27 MD 2 (Gov Ritchie Hwy)",2025/05/11 04:10:00+00,70,6,0,39.014515,-76.490525
-76.685333,39.2540530000001,176,8000038f005a00f5003bc7482f1f5daa,I-695 S @ I-95,2025/05/11 04:08:27+00,65,121,1,39.254053,-76.685333
-76.52507,39.32798,177,800004aa00b7004d0057fa30c4235c0a,"I-95 SB SOUTH OF CHESACO AVE, MM 61.5",2025/05/10 22:53:15+00,70,451,3,39.32798,-76.52507
-76.583516,39.4119900000001,178,820003d1004f000c0043833033235daa,I-695 at Providence Rd,2025/05/11 04:10:00+00,65,23,3,39.41199,-76.583516
-76.583516,39.4119900000001,179,820003d1004f000c0043833033235daa,I-695 at Providence Rd,2025/05/11 04:10:00+00,70,22,3,39.41199,-76.583516
-76.925562,39.0583760000001,180,83010409004400640057fa30c4235c0a,I-95 SOUTH OF OLD GUNPOWDER RD,2025/05/11 04:07:47+00,70,160,2,39.058376,-76.925562
-76.484393,39.3295830000001,181,860006c50030002f004d823033235daa,I-695 (O/L) @Ex 36 MD-702,2025/05/11 04:10:00+00,65,12,2,39.329583,-76.484393
-76.484393,39.3295830000001,182,860006c50030002f004d823033235daa,I-695 (O/L) @Ex 36 MD-702,2025/05/11 04:10:00+00,70,4,1,39.329583,-76.484393
-76.484393,39.3295830000001,183,860006c50030002f004d823033235daa,I-695 (O/L) @Ex 36 MD-702,2025/05/11 04:10:00+00,60,6,0,39.329583,-76.484393
