OBJECTID,CTP Project ID,CTP Project Name,County,TBU Facility,CTP Doc URL,Longitude,Latitude,Transportation Business Unit,District,x,y
286,XX2323,"Sidewalk Upgrades for ADA Compliance at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=305,38.2087838454239,-75.6963138023011,Maryland State Highway Administration,1,-8426475.1074,4608962.0979
287,XX2331,"Pavement Marking at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=305,38.2087838454239,-75.6963138023011,Maryland State Highway Administration,1,-8426475.1074,4608962.0979
288,XX2323,"Sidewalk Upgrades for ADA Compliance at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=305,38.3661683940845,-75.6000990161601,Maryland State Highway Administration,1,-8415764.5264,4631283.0512
289,XX2331,"Pavement Marking at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=305,38.3661683940845,-75.6000990161601,Maryland State Highway Administration,1,-8415764.5264,4631283.0512
290,XX2323,"Sidewalk Upgrades for ADA Compliance at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=305,38.5721680103052,-76.0747187590595,Maryland State Highway Administration,1,-8468598.9545,4660572.2836
291,XX2323,"Sidewalk Upgrades for ADA Compliance at Various Locations in Dorchester, Somerset, Wicomico and Worcester Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=305,38.5721680103052,-76.0747187590595,Maryland State Highway Administration,1,-8468598.9545,4660572.2836
292,XX2342,"Installation of Raised Pavement Markers at Various Locations in Caroline, Cecil, Kent, Queen Anne's & Talbot Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=308,39.6004804023145,-75.7886626562775,Maryland State Highway Administration,2,-8436755.3348,4808053.8993
293,XX2522,"Pavement Marking at Various Locations in Cecil, Kent, Queen Anne’s, Caroline and Talbot Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,39.6004804023145,-75.7886626562775,Maryland State Highway Administration,2,-8436755.3348,4808053.8993
294,XX2342,"Installation of Raised Pavement Markers at Various Locations in Caroline, Cecil, Kent, Queen Anne's & Talbot Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=308,39.2111526333973,-76.0683222439935,Maryland State Highway Administration,2,-8467886.8977,4751962.6656
295,XX2522,"Pavement Marking at Various Locations in Cecil, Kent, Queen Anne’s, Caroline and Talbot Counties",Areawide,,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=304,39.2111526333973,-76.0683222439935,Maryland State Highway Administration,2,-8467886.8977,4751962.6656
